Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
544,Polyana Viana,Hannah Cifers,-280,240,Blue,Marco Polo Reyes,Kyle Nelson,-105,-115,Blue,95.23809524,86.95652174
545,Jan Blachowicz,Thiago Santos,110,-130,Blue,Ariane Carnelossi,Angela Hill,-115,-105,Blue,86.95652174,95.23809524
546,Stefan Struve,Marcos Rogerio de Lima,-115,-105,Red,Sergio Pettis,Tyson Nam,-300,250,Red,33.33333333,250
547,Gian Villante,Michal Oleksiejczuk,180,-220,Blue,Vinicius Moreira,Paul Craig,100,-120,Blue,100,83.33333333
548,Liz Carmouche,Lucie Pudilova,-155,135,Red,Sijara Eubanks,Bethe Correia,-290,245,Blue,34.48275862,245
549,John Dodson,Petr Yan,225,-265,Blue,Caludio Puelles,Marcos Mariano,-400,325,Red,25,325
550,Magomed Ankalaev,Klidson Abreu,-210,175,Red,Jack Hermansson,Jared Cannonier,-275,235,Blue,36.36363636,235
551,Dwight Grant,Carlo Pedersoli,140,-160,Red,Mark Madsen,Danilo Belluardo,-600,450,Red,16.66666667,450
552,Daniel Teymur,Chris Fishgold,205,-245,Blue,Gunnar Nelson,Gilbert Burns,-105,-115,Blue,95.23809524,86.95652174
553,Veronica Macedo,Gillian Robertson,158,-180,Blue,Ion Cutelaba,Khalil Rountree Jr.,-105,-115,Red,95.23809524,86.95652174
554,Damir Hadzovic,Polo Reyes,-325,265,Red,Michal Oleksiejczuk,Ovince Saint Preux,-290,245,Blue,34.48275862,245
555,Michel Prazeres,Ismail Naurdiev,-470,375,Blue,Nicolas Dalby,Alex Oliveira,135,-155,Red,135,64.51612903
556,Rustam Khabilov,Diego Ferreira,-140,120,Blue,Alen Amedovski,John Phillips,-130,110,Blue,76.92307692,110
557,Damir Ismagulov,Joel Alvarez,-325,265,Red,Alessio Di Chirico,Makhmud Muradov,145,-165,Blue,145,60.60606061
558,Francis Ngannou,Cain Velasquez,175,-210,Red,Siyar Bahadurzada,Ismail Naurdiev,190,-230,Blue,190,43.47826087
559,James Vick,Paul Felder,-120,100,Blue,Brandon Davis,Giga Chikadze,-155,135,Blue,64.51612903,135
560,Cortney Casey,Cynthia Calvillo,295,-355,Blue,Macy Chiasson,Lina Lansberg,-430,345,Blue,23.25581395,345
561,Alex Caceres,Kron Gracie,245,-290,Blue,Marc Diakiese,Lando Vannata,-165,145,Red,60.60606061,145
562,Vicente Luque,Bryan Barberena,-470,375,Red,Jack Shore,Nohelin Hernandez,-235,195,Red,42.55319149,195
563,Andre Fili,Myles Jury,130,-150,Red,Robert Whittaker,Israel Adesanya,110,-130,Blue,110,76.92307692
564,Jimmie Rivera,Aljamain Sterling,-135,115,Blue,Al Iaquinta,Dan Hooker,115,-135,Blue,115,74.07407407
565,Benito Lopez,Manny Bermudez,170,-200,Blue,Tai Tuivasa,Serghei Spivac,-330,270,Blue,30.3030303,270
566,Ashlee Evans-Smith,Andrea Lee,160,-185,Blue,Luke Jumeau,Dhiego Lima,120,-140,Blue,120,71.42857143
567,Scott Holtzman,Nik Lentz,-160,140,Blue,Justin Tafa,Yorgan De Castro,-105,-115,Blue,95.23809524,86.95652174
568,Renan Barao,Luke Sanders,130,-150,Blue,Jake Matthews,Rostem Akman,-470,375,Red,21.27659574,375
569,Alexandra Albu,Emily Whitmire,-110,-110,Blue,Callan Potter,Maki Pitolo,325,-400,Red,325,25
570,Israel Adesanya,Anderson Silva,-515,410,Red,Brad Riddell,Jamie Mullarkey,-165,145,Red,60.60606061,145
571,Lando Vannata,Marcos Mariano,-450,360,Red,Megan Anderson,Zarah Fairn,-420,335,Red,23.80952381,335
572,Rani Yahya,Ricky Simon,-115,-105,Blue,Nadia Kassem,Ji Yeon Kim,155,-175,Blue,155,57.14285714
573,Montana De La Rosa,Nadia Kassem,-250,210,Red,Khalid Taha,Bruno Silva,-220,180,Red,45.45454545,180
574,Jimmy Crute,Sam Alvey,-145,125,Red,Curtis Blaydes,Junior Dos Santos,-280,240,Red,35.71428571,240
575,Devonte Smith,Dong Hyun Ma,-270,230,Red,Rafael Dos Anjos,Michael Chiesa,-225,185,Blue,44.44444444,185
576,Shane Young,Austin Arnett,-380,315,Red,Jordan Espinosa,Alex Perez,210,-250,Blue,210,40
577,Kai Kara-France,Raulian Paiva,-265,220,Red,Hannah Cifers,Angela Hill,180,-220,Blue,180,45.45454545
578,Teruto Ishihara,Kyung Ho Kang,290,-350,Blue,Jamahal Hill,Darko Stosic,-135,115,Red,74.07407407,115
579,Callan Potter,Jalin Turner,190,-230,Blue,Bevon Lewis,Dequan Townsend,-370,310,Red,27.02702703,310
580,Wuliji Buren,Jonathan Martinez,105,-125,Blue,Arnold Allen,Nik Lentz,-235,195,Red,42.55319149,195
581,Raphael Assuncao,Marlon Moraes,130,-150,Blue,Justine Kish,Luci Pudilova,150,-170,Red,150,58.82352941
582,Jose Aldo,Renato Moicano,-110,-110,Red,Montel Jackson,Felipe Colares,-700,500,Red,14.28571429,500
583,Demian Maia,Lyman Good,-200,170,Red,Sara McMann,Lina Lansberg,-125,105,Red,80,105
584,Charles Oliveira,David Teymur,-120,100,Red,Brett Johns,Tony Gravely,-130,110,Red,76.92307692,110
585,Johnny Walker,Justin Ledet,-235,195,Red,Herbert Burns,Nate Landwehr,100,-120,Red,100,83.33333333
586,Livinha Souza,Sarah Frota,-230,190,Red,Joanna Jedrzejczyk,Michelle Waterson,-300,250,Red,33.33333333,250
587,Markus Perez,Anthony Hernandez,115,-135,Red,Cub Swanson,Kron Gracie,155,-175,Red,155,57.14285714
588,Mara Romero Borella,Taila Santos,185,-225,Red,Niko Price,James Vick,-145,125,Red,68.96551724,125
589,Thiago Alves,Max Griffin,160,-185,Red,Mackenzie Dern,Amanda Ribas,-185,160,Blue,54.05405405,160
590,Junior Albini,Jairzinho Rozenstruik,-145,125,Blue,Matt Frevola,Luis Pena,130,-150,Red,130,66.66666667
591,Geraldo de Freitas,Felipe Colares,-130,110,Red,Eryk Anders,Gerald Meerschaert,-140,120,Red,71.42857143,120
592,Ricardo Ramos,Said Nurmagomedov,-170,150,Blue,Ryan Spann,Devin Clark,-175,155,Red,57.14285714,155
593,Magomed Bibulatov,Rogerio Bontorin,-290,245,Blue,Mike Davis,Thomas Gifford,-290,245,Red,34.48275862,245
594,Henry Cejudo,TJ Dillashaw,185,-225,Red,Max Griffin,Alex Morono,-145,125,Blue,68.96551724,125
595,Greg Hardy,Allen Crowder,-450,360,Blue,Deiveson Figueiredo,Tim Elliott,-175,155,Red,57.14285714,155
596,Gregor Gillespie,Yancy Medeiros,-470,375,Red,Marlon Vera,Andre Ewell,-140,120,Red,71.42857143,120
597,Joseph Benavidez,Dustin Ortiz,-240,200,Red,Miguel Baeza,Hector Aldana,-250,210,Red,40,210
598,Paige VanZant,Rachael Ostovich,-175,155,Red,Marvin Vettori,Andrew Sanchez,-370,310,Red,27.02702703,310
599,Glover Teixeira,Karl Roberson,-110,-110,Red,JJ Aldrich,Lauren Mueller,-150,130,Red,66.66666667,130
600,Alexander Hernandez,Donald Cerrone,-220,180,Blue,Yair Rodriguez,Jeremy Stephens,-140,120,Red,71.42857143,120
601,Joanne Calderwood,Ariane Lipski,215,-255,Red,Dominick Reyes,Chris Weidman,-200,170,Red,50,170
602,Alonzo Menifield,Vinicius Moreira,-290,245,Red,Joe Lauzon,Jonathan Pearce,170,-200,Red,170,50
603,Cory Sandhagen,Mario Bautista,-525,415,Red,Maycee Barber,Gillian Robertson,-170,150,Red,58.82352941,150
604,Dennis Bermudez,Te Edwards,105,-125,Red,Deron Winn,Darren Stewart,-115,-105,Blue,86.95652174,95.23809524
605,Belal Muhammad,Geoff Neal,170,-200,Blue,Charles Rosa,Manny Bermudez,160,-185,Red,160,54.05405405
606,Kyle Stewart,Chance Rencountre,-165,145,Blue,Molly McCann,Diana Belbita,-640,470,Red,15.625,470
607,Jon Jones,Alexander Gustafsson,-290,245,Red,Kyle Bochniak,Sean Woodson,-115,-105,Blue,86.95652174,95.23809524
608,Cris Cyborg,Amanda Nunes,-210,175,Blue,Randy Costa,Boston Salmon,130,-150,Red,130,66.66666667
609,Carlos Condit,Michael Chiesa,-105,-115,Blue,Court McGee,Sean Brady,150,-170,Blue,150,58.82352941
610,Ilir Latifi,Corey Anderson,-130,110,Blue,Brendan Allen,Kevin Holland,135,-155,Red,135,64.51612903
611,Chad Mendes,Alexander Volkanovski,-140,120,Blue,Daniel Spitz,Tanner Boser,125,-145,Blue,125,68.96551724
612,Andrei Arlovski,Walt Harris,180,-220,Draw,Demian Maia,Ben Askren,140,-160,Red,140,62.5
613,Cat Zingano,Megan Anderson,-130,120,Blue,Michael Johnson,Stevie Ray,-275,235,Blue,36.36363636,235
614,Douglas Silva de Andrade,Petr Yan,290,-350,Blue,Frank Camacho,Beneil Dariush,160,-185,Blue,160,54.05405405
615,BJ Penn,Ryan Hall,365,-460,Blue,Ciryl Gane,Don'tale Mayes,-325,265,Red,30.76923077,265
616,Nathaniel Wood,Andre Ewell,-120,100,Red,Muslim Salikhov,Laureano Staropoli,-165,145,Red,60.60606061,145
617,Uriah Hall,Bevon Lewis,150,-170,Red,Randa Markos,Ashley Yoder,-150,130,Red,66.66666667,130
618,Curtis Millender,Siyar Bahadurzada,-150,130,Red,Alex White,Rafael Fiziev,165,-190,Blue,165,52.63157895
619,Brian Kelleher,Montel Jackson,155,-175,Blue,Enrique Barzola,Movsar Evloev,170,-200,Blue,170,50
620,Kevin Lee,Al Iaquinta,-335,275,Blue,Maurice Greene,Sergei Pavlovich,200,-240,Blue,200,41.66666667
621,Edson Barboza,Dan Hooker,-105,-115,Red,Loma Lookboonmee,Alexandra Albu,-135,115,Red,74.07407407,115
622,Rob Font,Sergio Pettis,-165,145,Red,Raphael Pessoa Nunes,Jeff Hughes,205,-245,Red,205,40.81632653
623,Jim Miller,Charles Oliveira,255,-310,Blue,Conor McGregor,Donald Cerrone,-305,275,Red,32.78688525,275
624,Zak Ottow,Dwight Grant,230,-270,Red,Holly Holm,Raquel Pennington,-125,105,Red,80,105
625,Bobby Green,Drakkar Klose,210,-250,Blue,Aleksei Oleinik,Maurice Greene,110,-120,Red,110,83.33333333
626,Jared Gordon,Joaquim Silva,-115,-105,Blue,Anthony Pettis,Diego Ferreira,200,-220,Blue,200,45.45454545
627,Gerald Meerschaert,Jack Hermansson,130,-150,Blue,Roxanne Modafferi,Maycee Barber,655,-830,Red,655,12.04819277
628,Trevor Smith,Zak Cummings,270,-330,Blue,Andre Fili,Sodiq Yusuff,125,-135,Blue,125,74.07407407
629,Dan Ige,Jordan Griffin,-165,145,Red,Drew Dober,Nasrat Haqparast,290,-320,Red,290,31.25
630,Adam Milstead,Mike Rodriguez,-110,-110,Blue,Aleksa Camur,Justin Ledet,-115,105,Red,86.95652174,105
631,Chris de la Rocha,Juan Adams,375,-470,Blue,Tim Elliott,Askar Askarov,130,-140,Blue,130,71.42857143
632,Max Holloway,Brian Ortega,-110,-110,Red,Brian Kelleher,Ode Obsourne,125,-135,Red,125,74.07407407
633,Valentina Shevchenko,Joanna Jedrzejczyk,-300,250,Red,Sabina Mazo,JJ Aldrich,-105,-105,Red,95.23809524,95.23809524
634,Alex Oliveira,Gunnar Nelson,135,-155,Blue,Jorge Masvidal,Nate Diaz,-155,135,Red,64.51612903,135
635,Hakeem Dawodu,Kyle Bochniak,-200,170,Red,Kelvin Gastelum,Darren Till,-200,170,Blue,50,170
636,Jimi Manuwa,Thiago Santos,160,-185,Blue,Stephen Thompson,Vicente Luque,-115,-105,Red,86.95652174,95.23809524
637,Claudia Gadelha,Nina Ansaroff,-310,255,Blue,Derrick Lewis,Blagoy Ivanov,-115,-105,Red,86.95652174,95.23809524
638,Olivier Aubin-Mercier,Gilbert Burns,-135,115,Blue,Kevin Lee,Gregor Gillespie,150,-170,Red,150,58.82352941
639,Katlyn Chookagian,Jessica Eye,-235,195,Blue,Corey Anderson,Johnny Walker,155,-175,Red,155,57.14285714
640,Elias Theodorou,Eryk Anders,-125,105,Red,Shane Burgos,Makwan Amirkhani,-220,180,Red,45.45454545,180
641,Brad Katona,Matthew Lopez,-160,140,Red,Brad Tavares,Edmen Shahbazyan,160,-185,Blue,160,54.05405405
642,Chad Laprise,Dhiego Lima,-400,325,Blue,Andrei Arlovski,Jairzinho Rozenstruik,140,-160,Blue,140,62.5
643,Diego Ferreira,Kyle Nelson,-550,425,Red,Katlyn Chookagian,Jennifer Maia,-135,115,Red,74.07407407,115
644,Devin Clark,Aleksandar Rakic,435,-570,Blue,Lyman Good,Chance Rencountre,-115,-105,Red,86.95652174,95.23809524
645,Junior Dos Santos,Tai Tuivasa,-160,140,Red,Julio Arce,Hakeem Dawodu,-110,-110,Blue,90.90909091,90.90909091
646,Mauricio Rua,Tyson Pedro,415,-525,Red,Zabit Magomedsharipov,Calvin Kattar,-275,235,Red,36.36363636,235
647,Mark Hunt,Justin Willis,-110,-110,Blue,Alekander Volkov,Greg Hardy,-270,230,Red,37.03703704,230
648,Jake Matthews,Anthony Rocco Martin,-150,130,Blue,Zelim Imadaev,Danny Roberts,-240,200,Blue,41.66666667,200
649,Suman Mokhtarian,Sodiq Yusuff,450,-600,Blue,Khadis Ibragimov,Ed Herman,-235,195,Blue,42.55319149,195
650,Jimmy Crute,Paul Craig,-290,245,Red,Ramazan Emeev,Rocco Martin,-135,115,Blue,74.07407407,115
651,Yushin Okami,Aleksei Kunchenko,250,-300,Blue,Shamil Gamzatov,Klidson Abreu,-145,125,Red,68.96551724,125
652,Wilson Reis,Ben Nguyen,125,-145,Red,Magomed Ankalaev,Dalcha Lungiambula,-330,270,Red,30.3030303,270
653,Keita Nakamura,Salim Touahri,-155,135,Red,Rustam Khabilov,Sergey Khandozhko,-245,205,Red,40.81632653,205
654,Elias Garcia,Kai Kara-France,300,-360,Blue,Roman Kopylov,Karl Roberson,-145,125,Blue,68.96551724,125
655,Mizuto Hirota,Christos Giagos,310,-370,Blue,Abubakar Nurmagomedov,David Zawada,-265,225,Blue,37.73584906,225
656,Alex Gorgees,Damir Ismagulov,425,-550,Blue,Alexander Yakovlev,Roosevelt Roberts,110,-130,Blue,110,76.92307692
657,Rafael Dos Anjos,Kamaru Usman,270,-330,Blue,Jessica-Rose Clark,Pannie Kianzad,-105,-115,Blue,95.23809524,86.95652174
658,Juan Espino,Justin Frazier,-175,155,Red,Grigorii Popov,Davey Grant,-150,130,Blue,66.66666667,130
659,Pannie Kianzad,Macy Chiasson,-115,-105,Blue,Jan Blachowicz,Jacare Souza,-160,140,Red,62.5,140
660,Pedro Munhoz,Bryan Caraway,-290,245,Red,Charles Oliveira,Jared Gordon,-390,320,Red,25.64102564,320
661,Darren Stewart,Edmen Shahbazyan,100,-120,Blue,Antonio Arroyo,Andre Muniz,105,-125,Blue,105,80
662,Ji Yeon Kim,Antonina Shevchenko,235,-275,Blue,Markus Perez,Wellington Turman,135,-155,Blue,135,64.51612903
663,Rick Glenn,Kevin Aguilar,-125,105,Blue,Sergio Moraes,James Krause,170,-200,Blue,170,50
664,Joseph Benavidez,Alex Perez,100,-120,Red,Ricardo Ramos,Eduardo Garagorri,-430,345,Red,23.25581395,345
665,Maurice Greene,Michel Batista,-140,120,Red,Francisco Trinaldo,Bobby Green,-155,135,Red,64.51612903,135
666,Julija Stoliarenko,Leah Letson,170,-200,Blue,Warlley Alves,Randy Brown,-135,115,Blue,74.07407407,115
667,Roosevelt Roberts,Darrell Horcher,-340,280,Red,Douglas Silva de Andrade,Renan Barao,-235,195,Red,42.55319149,195
668,Tim Means,Ricky Rainey,-340,280,Red,Ariane Lipski,Isabela De Pauda,-260,220,Red,38.46153846,220
669,Raoni Barcelos,Chris Gutierrez,-550,425,Red,Vanessa Melo,Tracy Cortez,195,-235,Blue,195,42.55319149
670,Curtis Blaydes,Francis Ngannou,-240,200,Blue,Frankie Edgar,Chan Sung Jung,129,-151,Blue,129,66.22516556
671,Alistair Overeem,Sergei Pavlovich,115,-135,Red,Volkan Oezdemir,Aleksandar Rakic,145,-175,Red,145,57.14285714
672,Song Yadong,Vince Morales,-550,425,Red,Dooho Choi,Charles Jourdain,-280,220,Blue,35.71428571,220
673,Li Jingliang,David Zawada,-220,180,Red,Da Un Jung,Mike Rodriguez,-118,-118,Red,84.74576271,84.74576271
674,Song Kenan,Alex Morono,-140,120,Blue, Jun Yong Park,Marc-Andre Barriault,-138,105,Red,72.46376812,105
675,Wu Yanan,Lauren Mueller,290,-350,Red,Kyung Ho Kang,Liu Pingyuan,-275,200,Red,36.36363636,200
676,Hu Yaozong,Rashad Coulter,-125,105,Blue,Ciryl Gane,Tanner Boser,-641,484,Red,15.60062402,484
677,Weili Zhang,Jessica Aguilar,-550,425,Red,Seungwoo Choi,Suman Mokhtarian,-275,200,Red,36.36363636,200
678,Liu Pingyuan,Martin Day,-170,150,Red,Dong Hyun Ma,Omar Antonio Morales Ferrer,150,-200,Blue,150,50
679,Yan Xiaonan,Syuri Kondo,-360,300,Red,Alexandre Pantoja,Matt Schnell,-181,159,Red,55.24861878,159
680,Kevin Holland,John Phillips,-590,445,Red,Raoni Barcelos,Said Nurmagomedov,-151,129,Red,66.22516556,129
681,Su Mudaerji,Louis Smolka,150,-170,Blue,Miranda Granger,Amanda Lemos,-303,234,Blue,33.00330033,234
682,Neil Magny,Santiago Ponzinibbio,175,-210,Blue,Heili Alateng,Ryan Benoit,126,-154,Red,126,64.93506494
683,Ricardo Lamas,Darren Elkins,-175,155,Red,Kamaru Usman,Colby Covington,-190,165,Red,52.63157895,165
684,Khalil Rountree Jr.,Johnny Walker,-155,135,Blue,Max Holloway,Alexander Volkanovski,-200,170,Blue,50,170
685,Cezar Ferreira,Ian Heinisch,-185,160,Blue,Amanda Nunes,Germaine de Randamie,-460,365,Red,21.73913043,365
686,Guido Cannetti,Marlon Vera,260,-320,Blue,Marlon Moraes,Jose Aldo,-165,145,Red,60.60606061,145
687,Cynthia Calvillo,Poliana Botelho,150,-170,Red,Peter Yan,Urijah Faber,-470,375,Red,21.27659574,375
688,Michel Prazeres,Bartosz Fabinski,-145,125,Red,Geoff Neal,Mike Perry,-300,250,Red,33.33333333,250
689,Alexandre Pantoja,Ulka Sasaki,-320,260,Red,Ketlen Vieira,Irene Aldana,-240,200,Blue,41.66666667,200
690,Humberto Bandenay,Austin Arnett,-235,195,Blue,Ian Heinisch,Omari Akhmedov,-115,-105,Blue,86.95652174,95.23809524
691,Laureano Staropoli,Hector Aldana,100,-120,Red,Matt Brown,Ben Saunders,-355,295,Red,28.16901408,295
692,Devin Powell,Jesus Pinedo,200,-240,Blue,Chase Hooper,Daniel Teymur,-165,145,Red,60.60606061,145
693,Nad Narimani,Anderson Dos Santos,-420,335,Red,Brandon Moreno,Kai Kara France,140,-160,Red,140,62.5
694,Chan Sung Jung,Yair Rodriguez,110,-130,Blue,Jessica Eye,Viviane Araujo,185,-225,Red,185,44.44444444
695,Donald Cerrone,Mike Perry,170,-200,Red,Punahele Soriano,Oskar Piechota,-125,105,Red,80,105
696,Raquel Pennington,Germaine de Randamie,180,-220,Blue,Alistair Overeem,Jairzinho Rozenstruik,130,-150,Blue,130,66.66666667
697,Beneil Dariush,Thiago Moises,-160,140,Red,Stefan Struve,Ben Rothwell,130,-150,Blue,130,66.66666667
698,Maycee Barber,Hannah Cifers,-470,375,Red,Aspen Ladd,Yana Kunitskaya,-210,175,Red,47.61904762,175
699,Michael Trizano,Luis Pena,145,-165,Red,Rob Font,Ricky Simon,-145,125,Red,68.96551724,125
700,Ashley Yoder,Amanda Cooper,-140,120,Red,Thiago Alves,Tim Means,225,-265,Blue,225,37.73584906
701,Chas Skelly,Bobby Moffett,100,-120,Blue,Billy Quarantillo,Jacob Kilburn,-320,260,Red,31.25,260
702,Davi Ramos,John Gunther,-1000,650,Red,Bryce Mitchell,Matt Sayles,110,-130,Red,110,76.92307692
703,Devonte Smith,Julian Erosa,-230,210,Red,Joe Solecki,Matt Wiman,-400,325,Red,25,325
704,Joseph Morales,Eric Shelton,125,-145,Blue,Mallory Martin,Virna Jandiroba,215,-255,Red,215,39.21568627
705,Mark De La Rosa,Joby Sanchez,-230,190,Red,Makhmud Muradov,Trevor Smith,-500,400,Red,20,400
706,Daniel Cormier,Derrick Lewis,-380,315,Red,Henry Cejudo,Marlon Moraes,145,-165,Red,145,60.60606061
707,Chris Weidman,Jacare Souza,-160,140,Blue,Valentina Shevchenko,Jessica Eye,-1100,700,Red,9.090909091,700
708,David Branch,Jared Cannonier,-325,265,Blue,Tony Ferguson,Donald Cerrone,-210,175,Red,47.61904762,175
709,Karl Roberson,Jack Marshman,-325,265,Red,Jimmie Rivera,Petr Yan,300,-360,Blue,300,27.77777778
710,Derek Brunson,Israel Adesanya,245,-290,Blue,Tai Tuivasa,Blagoy Ivanov,-160,140,Blue,62.5,140
711,Jason Knight,Jordan Rinaldi,-300,250,Blue,Tatiana Suarez,Nina Ansaroff,-750,525,Red,13.33333333,525
712,Sijara Eubanks,Roxanne Modafferi,-600,450,Red,Aljamain Sterling,Pedro Munhoz,-160,140,Red,62.5,140
713,Julio Arce,Sheymon Moraes,-255,215,Blue,Karolina Kowalkiewicz,Alexa Grasso,105,-125,Blue,105,80
714,Lyman Good,Ben Saunders,-630,465,Red,Ricardo Lamas,Calvin Kattar,155,-175,Blue,155,57.14285714
715,Matt Frevola,Lando Vannata,200,-240,Draw,Yan Xiaonan,Angela Hill,-220,180,Red,45.45454545,180
716,Shane Burgos,Kurt Holobaugh,-400,325,Red,Bevon Lewis,Darren Stewart,-170,150,Blue,58.82352941,150
717,Adam Wieczorek,Marcos Rogerio de Lima,-170,150,Blue,Eddie Wineland,Grigorii Popov,-155,135,Red,64.51612903,135
718,Volkan Oezdemir,Anthony Smith,-160,140,Blue,Katlyn Chookagian,Joanne Calderwood,-105,-115,Red,95.23809524,86.95652174
719,Michael Johnson,Artem Lobov,-700,500,Red,Alexander Gustafsson,Anthony Smith,-320,260,Blue,31.25,260
720,Misha Cirkunov,Patrick Cummins,-345,285,Red,Jimi Manuwa,Aleksandar Rakic,215,-255,Blue,215,39.21568627
721,Andre Soukhamthath,Jonathan Martinez,-140,120,Red,Makwan Amirkhani,Chris Fishgold,-130,110,Red,76.92307692,110
722,Gian Villante,Ed Herman,-235,195,Red,Damir Hadzovic,Christos Giagos,-165,145,Blue,60.60606061,145
723,Alex Garcia,Court McGee,-245,205,Blue,Daniel Teymur,Sung Bin Jo,110,-130,Red,110,76.92307692
724,Nordine Taleb,Sean Strickland,-120,100,Blue,Rostem Akman,Sergey Khandozhko,135,-155,Blue,135,64.51612903
725,Thibault Gouti,Nasrat Haqparast,600,-750,Blue,Tonya Evinger,Lina Lansberg,-400,325,Blue,25,325
726,Calvin Kattar,Chris Fishgold,-200,170,Red,Stevie Ray,Leonardo Santos,135,-155,Blue,135,64.51612903
727,Sarah Moras,Talita Bernardo,-170,150,Blue,Nick Hein,Frank Camacho,110,-130,Blue,110,76.92307692
728,Te Edwards,Don Madge,-450,360,Blue,Bea Malecki,Duda Santana,-125,105,Red,80,105
729,Arjan Bhullar,Marcelo Golm,-160,140,Red,Darko Stosic,Devin Clark,-110,-110,Blue,90.90909091,90.90909091
730,Stevie Ray,Jessin Ayari,-160,140,Red,Joel Alvarez,Danilo Belluardo,-105,-115,Red,95.23809524,86.95652174
731,Khabib Nurmagomedov,Conor McGregor,-190,165,Red,Rafael Dos Anjos,Kevin Lee,130,-150,Red,130,66.66666667
732,Tony Ferguson,Anthony Pettis,-355,295,Red,Antonio Carlos Junior,Ian Heinisch,-160,140,Blue,62.5,140
733,Ovince Saint Preux,Dominick Reyes,190,-230,Blue,Megan Anderson,Felicia Spencer,-220,180,Blue,45.45454545,180
734,Derrick Lewis,Alexander Volkov,135,-155,Red,Vicente Luque,Derrick Krantz,-1100,700,Red,9.090909091,700
735,Michelle Waterson,Felice Herrig,115,-135,Red,Charles Oliveira,Nik Lentz,-420,335,Red,23.80952381,335
736,Sergio Pettis,Jussier Formiga,-190,165,Blue,Davi Ramos,Austin Hubbard,-550,425,Red,18.18181818,425
737,Vicente Luque,Jalin Turner,-700,500,Red,Aspen Ladd,Sijara Eubanks,-260,220,Red,38.46153846,220
738,Aspen Ladd,Tonya Evinger,-185,160,Red,Desmond Green,Charles Jourdain,-900,600,Red,11.11111111,600
739,Scott Holtzman,Alan Patrick,260,-320,Red,Danny Roberts,Michel Pereira,-250,210,Blue,40,210
740,Lina Lansberg,Yana Kunitskaya,205,-245,Blue,Michael Trizano,Grant Dawson,145,-165,Blue,145,60.60606061
741,Gray Maynard,Nik Lentz,190,-230,Blue,Patrick Cummins,Ed Herman,-260,220,Blue,38.46153846,220
742,Ryan LaFlare,Anthony Rocco Martin,-125,105,Blue,Zak Cummings,Trevin Giles,170,-200,Red,170,50
743,Thiago Santos,Eryk Anders,-200,170,Red,Julio Arce,Julian Erosa,-800,550,Red,12.5,550
744,Alex Oliveira,Carlo Pedersoli,-500,400,Red,Rose Namajunas,Jessica Andrade,120,-140,Blue,120,71.42857143
745,Sam Alvey,Rogerio Nogueira,-350,290,Blue,Jared Cannonier,Anderson Silva,-135,115,Red,74.07407407,115
746,Renan Barao,Andre Ewell,-200,170,Blue,Jose Aldo,Alexander Volkanovski,-145,125,Blue,68.96551724,125
747,Randa Markos,Marina Rodriguez,115,-135,Draw,Thiago Alves,Laureano Staropoli,-125,105,Blue,80,105
748,Charles Oliveira,Christos Giagos,-470,375,Red,Irene Aldana,Bethe Correia,-400,325,Red,25,325
749,Francisco Trinaldo,Evan Dunham,-165,145,Red,Rogerio Nogueira,Ryan Spann,105,-125,Blue,105,80
750,Luis Henrique,Ryan Spann,-105,-115,Blue,Thiago Moises,Kurt Holobaugh,-125,105,Red,80,105
751,Augusto Sakai,Chase Sherman,-230,190,Red,Warlley Alves,Sergio Moraes,-135,115,Red,74.07407407,115
752,Sergio Moraes,Ben Saunders,-275,235,Red,BJ Penn,Clay Guida,525,-750,Blue,525,13.33333333
753,Mayra Bueno Silva,Gillian Robertson,120,-140,Red,Luana Carolina,Priscila Cachoeira,-170,150,Red,58.82352941,150
754,Thales Leites,Hector Lombard,-160,140,Red,Raoni Barcelos,Carlos Huachin,-1100,700,Red,9.090909091,700
755,Elizeu Zaleski dos Santos,Luigi Vendramini,-1000,650,Red,Talita Bernardo,Viviane Araujo,-280,240,Blue,35.71428571,240
756,Livinha Souza,Alex Chambers,-1500,1000,Red,Al Iaquinta,Donald Cerrone,-130,110,Blue,76.92307692,110
757,Mark Hunt,Aleksei Oleinik,-120,100,Blue,Derek Brunson,Elias Theodorou,-110,-110,Red,90.90909091,90.90909091
758,Jan Blachowicz,Nikita Krylov,125,-145,Red,Cub Swanson,Shane Burgos,160,-185,Blue,160,54.05405405
759,Andrei Arlovski,Shamil Abdurakhimov,120,-140,Blue,Brad Katona,Merab Dvalishvili,140,-160,Blue,140,62.5
760,Aleksei Kunchenko,Thiago Alves,-440,350,Red,Walt Harris,Serghei Spivac,-165,145,Red,60.60606061,145
761,Khalid Murtazaliev,CB Dollaway,-165,145,Red,Marc-Andre Barriault,Andrew Sanchez,140,-160,Blue,140,62.5
762,Petr Yan,Jin Soo Son,-1200,775,Red,Macy Chiasson,Sarah Moras,-700,500,Red,14.28571429,500
763,Rustam Khabilov,Kajan Johnson,-840,570,Red,Aiemann Zahabi,Vince Morales,-175,155,Blue,57.14285714,155
764,Mairbek Taisumov,Desmond Green,-600,450,Red,Nordine Taleb,Kyle Prepolec,-420,335,Red,23.80952381,335
